,,Wk,Date,Time,Team,Opponent,Goals,HomeGround,Avg_Age,%FPla,OppGlsAgst90,AvgGoalsScored_90,GlsRatio,tablePos,points
2018,57,9.0,2018-05-26,17:00,Sandviken,Stabæk,1,0,26.4,0.20999999999999996,1.0,1.0,0.699999988079071,9.0,18.0
2018,58,9.0,2018-05-27,12:00,Lyn,Grand Bodø,2,1,19.8,0.0,3.5999999046325684,,,,
2018,58,9.0,2018-05-27,12:00,Grand Bodø,Lyn,1,0,23.4,0.30000000000000004,,1.399999976158142,0.4000000059604645,11.0,8.0
2018,59,9.0,2018-05-27,14:30,Vålerenga,Trondheims-Ørn,0,1,25.6,0.22999999999999998,1.600000023841858,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,59,9.0,2018-05-27,14:30,Trondheims-Ørn,Vålerenga,1,0,21.8,0.0,1.5,1.600000023841858,1.0,8.0,30.0
2018,60,9.0,2018-05-27,17:00,LSK Kvinner,Avaldsnes,4,1,24.1,0.21999999999999997,0.800000011920929,3.0999999046325684,3.799999952316284,1.0,59.0
2018,60,9.0,2018-05-27,17:00,Avaldsnes,LSK Kvinner,0,0,24.0,0.43999999999999995,0.800000011920929,2.299999952316284,3.0,2.0,48.0
2018,62,2.0,2018-06-04,18:00,Avaldsnes,Klepp,1,1,24.0,0.43999999999999995,1.100000023841858,2.299999952316284,3.0,2.0,48.0
2018,62,2.0,2018-06-04,18:00,Klepp,Avaldsnes,2,0,25.1,0.26,0.800000011920929,1.5,1.399999976158142,4.0,40.0
2018,64,10.0,2018-06-16,14:00,Sandviken,Lyn,6,1,26.4,0.20999999999999996,,1.0,0.699999988079071,9.0,18.0
2018,64,10.0,2018-06-16,14:00,Lyn,Sandviken,0,0,19.8,0.0,1.5,,,,
2018,65,10.0,2018-06-16,14:00,Trondheims-Ørn,Kolbotn,2,1,21.8,0.0,2.0,1.600000023841858,1.0,8.0,30.0
2018,65,10.0,2018-06-16,14:00,Kolbotn,Trondheims-Ørn,2,0,21.2,0.050000000000000044,1.600000023841858,0.800000011920929,0.4000000059604645,10.0,15.0
2018,66,10.0,2018-06-16,15:00,Avaldsnes,Arna-Bjørnar,1,1,24.0,0.43999999999999995,1.2999999523162842,2.299999952316284,3.0,2.0,48.0
2018,66,10.0,2018-06-16,15:00,Arna-Bjørnar,Avaldsnes,0,0,21.9,0.09999999999999998,0.800000011920929,1.7999999523162842,1.399999976158142,6.0,35.0
2018,67,10.0,2018-06-16,15:00,Vålerenga,Røa,2,1,25.6,0.22999999999999998,1.2999999523162842,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,67,10.0,2018-06-16,15:00,Røa,Vålerenga,1,0,22.7,0.040000000000000036,1.5,1.899999976158142,1.5,5.0,37.0
2018,68,10.0,2018-06-16,15:00,Grand Bodø,Stabæk,0,1,23.4,0.30000000000000004,1.0,1.399999976158142,0.4000000059604645,11.0,8.0
2018,68,10.0,2018-06-16,15:00,Stabæk,Grand Bodø,3,0,23.6,0.040000000000000036,3.5999999046325684,2.0999999046325684,2.0,3.0,43.0
2018,69,10.0,2018-06-16,15:00,Klepp,LSK Kvinner,0,1,25.1,0.26,0.800000011920929,1.5,1.399999976158142,4.0,40.0
2018,69,10.0,2018-06-16,15:00,LSK Kvinner,Klepp,2,0,24.1,0.21999999999999997,1.100000023841858,3.0999999046325684,3.799999952316284,1.0,59.0
2018,71,11.0,2018-06-23,14:00,Kolbotn,Avaldsnes,2,1,21.2,0.050000000000000044,0.800000011920929,0.800000011920929,0.4000000059604645,10.0,15.0
2018,71,11.0,2018-06-23,14:00,Avaldsnes,Kolbotn,0,0,24.0,0.43999999999999995,2.0,2.299999952316284,3.0,2.0,48.0
2018,72,11.0,2018-06-23,14:00,Røa,Sandviken,3,1,22.7,0.040000000000000036,1.5,1.899999976158142,1.5,5.0,37.0
2018,72,11.0,2018-06-23,14:00,Sandviken,Røa,2,0,26.4,0.20999999999999996,1.2999999523162842,1.0,0.699999988079071,9.0,18.0
2018,73,11.0,2018-06-23,14:00,Stabæk,Klepp,0,1,23.6,0.040000000000000036,1.100000023841858,2.0999999046325684,2.0,3.0,43.0
2018,73,11.0,2018-06-23,14:00,Klepp,Stabæk,1,0,25.1,0.26,1.0,1.5,1.399999976158142,4.0,40.0
2018,74,11.0,2018-06-23,15:00,Lyn,Trondheims-Ørn,2,1,19.8,0.0,1.600000023841858,,,,
2018,74,11.0,2018-06-23,15:00,Trondheims-Ørn,Lyn,3,0,21.8,0.0,,1.600000023841858,1.0,8.0,30.0
2018,75,11.0,2018-06-23,15:00,Arna-Bjørnar,Vålerenga,3,1,21.9,0.09999999999999998,1.5,1.7999999523162842,1.399999976158142,6.0,35.0
2018,75,11.0,2018-06-23,15:00,Vålerenga,Arna-Bjørnar,2,0,25.6,0.22999999999999998,1.2999999523162842,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,76,11.0,2018-06-24,17:00,LSK Kvinner,Grand Bodø,2,1,24.1,0.21999999999999997,3.5999999046325684,3.0999999046325684,3.799999952316284,1.0,59.0
2018,76,11.0,2018-06-24,17:00,Grand Bodø,LSK Kvinner,0,0,23.4,0.30000000000000004,0.800000011920929,1.399999976158142,0.4000000059604645,11.0,8.0
2018,78,2.0,2018-06-27,18:00,Kolbotn,Røa,0,1,21.2,0.050000000000000044,1.2999999523162842,0.800000011920929,0.4000000059604645,10.0,15.0
2018,78,2.0,2018-06-27,18:00,Røa,Kolbotn,2,0,22.7,0.040000000000000036,2.0,1.899999976158142,1.5,5.0,37.0
2018,80,12.0,2018-06-30,15:00,Trondheims-Ørn,LSK Kvinner,2,1,21.8,0.0,0.800000011920929,1.600000023841858,1.0,8.0,30.0
2018,80,12.0,2018-06-30,15:00,LSK Kvinner,Trondheims-Ørn,3,0,24.1,0.21999999999999997,1.600000023841858,3.0999999046325684,3.799999952316284,1.0,59.0
2018,81,12.0,2018-06-30,15:00,Sandviken,Stabæk,1,1,26.4,0.20999999999999996,1.0,1.0,0.699999988079071,9.0,18.0
2018,81,12.0,2018-06-30,15:00,Stabæk,Sandviken,3,0,23.6,0.040000000000000036,1.5,2.0999999046325684,2.0,3.0,43.0
2018,82,12.0,2018-06-30,15:00,Klepp,Kolbotn,2,1,25.1,0.26,2.0,1.5,1.399999976158142,4.0,40.0
2018,82,12.0,2018-06-30,15:00,Kolbotn,Klepp,1,0,21.2,0.050000000000000044,1.100000023841858,0.800000011920929,0.4000000059604645,10.0,15.0
2018,83,12.0,2018-06-30,16:00,Grand Bodø,Arna-Bjørnar,0,1,23.4,0.30000000000000004,1.2999999523162842,1.399999976158142,0.4000000059604645,11.0,8.0
2018,83,12.0,2018-06-30,16:00,Arna-Bjørnar,Grand Bodø,4,0,21.9,0.09999999999999998,3.5999999046325684,1.7999999523162842,1.399999976158142,6.0,35.0
2018,84,12.0,2018-07-01,15:00,Avaldsnes,Røa,2,1,24.0,0.43999999999999995,1.2999999523162842,2.299999952316284,3.0,2.0,48.0
2018,84,12.0,2018-07-01,15:00,Røa,Avaldsnes,2,0,22.7,0.040000000000000036,0.800000011920929,1.899999976158142,1.5,5.0,37.0
2018,85,12.0,2018-07-01,15:00,Vålerenga,Lyn,6,1,25.6,0.22999999999999998,,1.7000000476837158,1.2000000476837158,7.0,34.0
2018,85,12.0,2018-07-01,15:00,Lyn,Vålerenga,1,0,19.8,0.0,1.5,,,,
2018,87,14.0,2018-07-04,18:00,Arna-Bjørnar,Avaldsnes,4,1,21.9,0.09999999999999998,0.800000011920929,1.7999999523162842,1.399999976158142,6.0,35.0
2018,87,14.0,2018-07-04,18:00,Avaldsnes,Arna-Bjørnar,1,0,24.0,0.43999999999999995,1.2999999523162842,2.299999952316284,3.0,2.0,48.0
2018,89,13.0,2018-08-03,18:00,Lyn,Avaldsnes,2,1,19.8,0.0,0.800000011920929,,,,
2018,89,13.0,2018-08-03,18:00,Avaldsnes,Lyn,2,0,24.0,0.43999999999999995,,2.299999952316284,3.0,2.0,48.0
2018,90,13.0,2018-08-04,14:00,Røa,Klepp,0,1,22.7,0.040000000000000036,1.100000023841858,1.899999976158142,1.5,5.0,37.0
2018,90,13.0,2018-08-04,14:00,Klepp,Røa,1,0,25.1,0.26,1.2999999523162842,1.5,1.399999976158142,4.0,40.0
2018,91,13.0,2018-08-04,14:00,Kolbotn,Sandviken,1,1,21.2,0.050000000000000044,1.5,0.800000011920929,0.4000000059604645,10.0,15.0
2018,91,13.0,2018-08-04,14:00,Sandviken,Kolbotn,1,0,26.4,0.20999999999999996,2.0,1.0,0.699999988079071,9.0,18.0
2018,92,13.0,2018-08-04,15:00,LSK Kvinner,Vålerenga,2,1,24.1,0.21999999999999997,1.5,3.0999999046325684,3.799999952316284,1.0,59.0
2018,92,13.0,2018-08-04,15:00,Vålerenga,LSK Kvinner,0,0,25.6,0.22999999999999998,0.800000011920929,1.7000000476837158,1.2000000476837158,7.0,34.0
